rank,name,slug,recommendation,editorial_score,evidence,selector,format,top_artists,reason,source_url
1,Experimentalgems,experimentalgems,keep,95,"Official Laut.fm API: Neue und alte spannende, experimentelle Musik aus verschiedenen Genres. Current playlist: Basisplaylist; next playlist: Around The World- Jeden Montag einmal rund um die Welt.",DJ Toni,Online-Radio.,And Also The Trees; Alva Noto & Ryuichi Sakamoto; Nicolas Jaar; Ben Frost; AutoBahn; Philip Glass Ensemble; Coil; Dhafer Youssef; The Kilimanjaro Darkjazz Ensemble; Trent Reznor and Atticus Ross,"Best Lore fit: named DJ Toni, Potsdam identity, explicit experimental remit, broad but coherent experimental/electronic/jazz/drone/free-jazz/avant-garde range, and a named weekly Around The World program.",https://api.laut.fm/station/experimentalgems
2,Elektronisch Querbeat,elektronisch-querbeat,keep,92,"Official Laut.fm API: WARNING! Please do not listen to this radio station, if you only support commercial music. ___________________ Have the time and focus to search out underground music. _____________ This station is for electronic music lovers. Music keeps us alive! Current playlist: elektronisch_querbeat; next playlist: elektronisch_querbeat.",daniel settler,"IDM, Glitch, Abstract, Broken Beat, Dubstep, Ambient & more.","Four Tet; Radiohead; Vector Lovers; Autophonic; Untold; Lucy; Sparrow Orange; Two Lone Swordsmen; Moore, Steve; Remote Viewer, The","Strong experimental-electronic fit: Daniel Settler is identified, the format explicitly names IDM, glitch, abstract, broken beat and dubstep, and the artist profile reaches beyond obvious commercial electronica.",https://api.laut.fm/station/elektronisch_querbeat
3,Path Through The Forest,path-through-the-forest,keep,88,Official Laut.fm API: ☺ ♪ ☻ ♫ ☼. Current playlist: Rotation; next playlist: punk.,Zottel,Path through the Forest — Obskure Perlen der Musik.,Ougenweide; Monster Magnet; Big Brother & The Holding Company; Doc Wör Mirran; The Courettes; Top Down; The Cure; Throbbing Gristle; Theresa Dold; Gerard,"Distinctive independent taste profile from DJ Zottel in Hamburg, with experimental, industrial, drone, psychedelic and punk signals plus a named punk program; playlist is less structured, so it ranks below the top two.",https://api.laut.fm/station/path_through_the_forest
4,Alternativeworld,alternativeworld,consider,87,"Official Laut.fm API: The Best in Indie, Alternative, Punk, New Wave and Britpop - from the classics of the 70's to the latest inside tips. Song request: request@alternativeworld.org.  Visit our website. It's great! Current playlist: Auf Solopfaden; next playlist: Aus der Garage.","Clifden, Gad The Hero, Milton Waddams, Ruby","Indie, Alternative, Punk, New Wave, Britpop.",Descendents; Buzzcocks; Vibrators; The Stooges; UK Subs; The Ramones; The Clash; The Mighty Mighty Bosstones; Johnny Thunders; Sham 69,"Good independent discovery candidate with four named DJs, request contact, explicit classics-to-new-tips remit, and named garage/solo programs; less experimental than the top three.",https://api.laut.fm/station/alternativeworld
5,Shoegaze,laut-fm-shoegaze,consider,85,"Official Laut.fm API: Shoegaze, Dream Pop, Indie, Metal, Electro, Post-Punk, Ambient, Hip-Hop. Current playlist: Indie Classics; next playlist: Shoegaze Classics.",D. Schacht & I. Benninghofen,Best Music in Aachen.,Beastie Boys; Biffy Clyro; Blumio; Bloodhound Gang; Blondie; The BossHoss; Billy Talent; Archive; Babyshambles; Beck,"Two named DJs, Aachen identity, and named Indie Classics/Shoegaze Classics programs make this a credible specialist discovery channel, though its stated range and artist profile are somewhat broad.",https://api.laut.fm/station/shoegaze
6,Shamanic Tunes,laut-fm-shamanic-tunes,consider,82,Official Laut.fm API: Psychedelic/Stoner Rock dominieren das Programm. Zwischendurch gibt es ausgewählte Schmankerl aus Post Rock/Shoegaze/Math Rock/Trip Hop/Noise/Alternative/etc. Current playlist: The Psychedelic Punch (Mixed Music); next playlist: Indie/Alternative/Personal Favourites.,Manuel,"Alternative, Hard Rock, Psychedelic, Trip-Hop, Stoner Rock, Doom Metal, Rock, Groove, Chillout",Kyuss; Fu Manchu; Sungrazer; Slo Burn; Desert Sessions; Orange Goblin; Colour Haze; Queens Of The Stone Age; Masters of Reality; Hermano,"Named selector Manuel and unusually coherent psychedelic/stoner/post-rock/shoegaze/trip-hop brief with themed programs; chillout appears in the tag set, not the station name, so it remains eligible.",https://api.laut.fm/station/shamanic_tunes
7,Darksynth-Radio,darksynth-radio,consider,80,"Official Laut.fm API: Welcome to the universe of dark, rare and forgotten tunes! We play outstanding tracks from mainly these genres: 80s, Darkwave, Minimal-Wave, Coldwave, Nu-Disco, Synth-Pop, Synthwave, Techno  . Current playlist: DARK SYNTH MIX 2; next playlist: DARK SYNTH MIX 3.",Not identified,Exquisite handpicked dark synth sound for the soul!,Darkways; Milliken Chamber; ULTRA SUNN; The Foreign Resort; The Essence; The Endearing; Cagedbaby & Dorothys Fortress; Mesh; The Brides of the Black Room; Mild Peril,"Explicit handpicked dark-synth brief and a strong specialist catalog, but no named selector and long mix blocks make the human editorial signal weaker.",https://api.laut.fm/station/darksynthradio
8,Sound,laut-fm-sound,consider,78,"Official Laut.fm API: ...and all the music that fits between the cracks: Traditional, Old Time, Roots, Revival and related styles. Current playlist: Rotation A; next playlist: Rotation A.",LazyBob,Gems of American Folk & Country Music...,Doc Watson; Jimmie Driftwood; Ed McCurdy; The Journeymen; The Highwaymen; The New Lost City Ramblers; Ola Belle Reed; The Browns; Hearts And Flowers; The Dillards,"Named DJ LazyBob and a clear American folk/country/roots remit with a deep historical artist profile; valuable niche, but less aligned with Lore’s experimental center.",https://api.laut.fm/station/sound
9,Kakerlaken-Radio,laut-fm-kakerlakenradio,consider,76,"Official Laut.fm API: Der Kakerlakeneffekt: Wenn alle bei einem Song fluchtartig die Tanzfläche verlassen.  
Rock-Pop-Sender unter https://laut.fm/leoradio  . Current playlist: Dies und das; next playlist: IndieCindy2.",Underpop,Indie-Rock-Pop-Alternative-New-Wave-Punk-Britpop-Garage.,Franz Ferdinand; Shocking Blue; The Ramones; Blondie; The Doors; The Von Bondies; Dum Dum Girls; Billy Idol; Morrissey; The Ventures,"Named Underpop programmer, Mannheim identity, broad indie/alternative/punk range and named rotating programs; useful independent texture but less distinctive than higher-ranked candidates.",https://api.laut.fm/station/kakerlakenradio
10,Rabenwind,radio-rabenwind,consider,72,"Official Laut.fm API: Musik der Mittelalter-Szene, Mittelalter-Rock und nordisches Liedergut. Current playlist: Liste 005/20; next playlist: Liste 010/20.",Thoralf Gerhardson,Radio Rabenwind.,SKÁLD; Versengold; Gabria; Spielleute Skadefryd; Saltatio Mortis; Wardruna; Kupfergold; Feuerschwanz; Frisia non Cantat; Dúo El Mar,"Named selector Thoralf Gerhardson and a defined Radio Rabenwind. format, but the API shows limited evidence of a distinctive Lore-level editorial structure.",https://api.laut.fm/station/rabenwind
11,Schwarzeszene,laut-fm-schwarze-szene,consider,70,"Official Laut.fm API: Gothic, Dark Wave, Neofolk, Industrial, Elektro, Metal, Medieval. Current playlist: New- And Old-Fashioned; next playlist: Medieval.",Teppic,Schwarze Szene.,Mono Inc.; Das Ich; Wynardtage; Paradise Lost; Diary Of Dreams; Saltatio Mortis; Zeraphine; Lacrimosa; Mechanical Moth; Noisex,"Named selector Teppic and a defined Schwarze Szene. format, but the API shows limited evidence of a distinctive Lore-level editorial structure.",https://api.laut.fm/station/schwarzeszene
12,Dark Mythos,laut-fm-dark-mythos,consider,69,"Official Laut.fm API: dark-MYTHOS steht für romantische Musik aus Gothic, Dark, EBM von heute bis zurück in die dunkle Zeit der Musik.The New Wave Gothic Radio – EBM and ElectronicFaszinierende romantische Klänge – mit und ohne Geschwindigkeit. Current playlist: You're welcome; next playlist: Dark Night 3.",thos,"Indie-Rock, Gothic, Gothic Rock, Alternative, Dance & Electronic, Indie, Pop, Rock",Depeche Mode; Lene Lovich; The Cure; Wolfsheim; Hazel O'connor; Project Pitchfork; The Sisters Of Mercy; Anne Clark; Apoptygma Berzerk; Deine Lakaien,"Named selector thos and a defined Indie-Rock, Gothic, Gothic Rock, Alternative, Dance & Electronic, Indie, Pop, Rock format, but the API shows limited evidence of a distinctive Lore-level editorial structure.",https://api.laut.fm/station/dark-mythos
13,DJ 666 Geordieblackcore,dj-666-geordieblackcore,consider,68,Official Laut.fm API: south hessian black metal ritual and all dark music that fits to my sick personal taste. black metal is not for everyone \m/ from time to time there will be live shows. Current playlist: Rotation; next playlist: Rotation.,dj666geordieblackcore,schwärzestes metall und artverwandtes.,Behexen; Steingrab; Vargnatt; Kroda; Azaghal; Temple Desecration; Unaussprechlichen Kulten; Marduk; Demonomancy; Bathory,"Named selector dj666geordieblackcore and a defined schwärzestes metall und artverwandtes. format, but the API shows limited evidence of a distinctive Lore-level editorial structure.",https://api.laut.fm/station/dj666geordieblackcore
14,1001 Trumpet Song,1001-trumpet-song,consider,66,Official Laut.fm API: 1001 Trumpet Song offers a wide selection of musical pieces performed with skill and passion by trumpet virtuosos from around the world. Current playlist: Trumpet Instrumental Music; next playlist: Trumpet Instrumental Music.,Not identified,"Jazz, Smooth Jazz, Easy Listening",Rick Braun; Miles Davis; Cindy Bradley; Till Brönner; Blue Mitchell; Jim Rotondi; Per Nielsen; Chet Baker; Wallace Roney; Wynton Marsalis,No named selector; the API presents a mostly genre- or rotation-driven stream with limited evidence of human editorial depth.,https://api.laut.fm/station/1001-trumpet-song
15,Championshipvinyl,championshipvinyl,consider,64,"Official Laut.fm API: The making of a great compilation tape, like breaking up, is hard to do and takes ages longer than it might seem. You gotta kick off with a killer ...... Current playlist: Rotation; next playlist: Rotation.",Not identified,High Fidelity.,Bloc Party; Oasis; The Notwist; The Rifles; Mumford & Sons; The XX; Arctic Monkeys; Noel Gallagher's High Flying Birds; Elbow; The Naked And Famous,No named selector; the API presents a mostly genre- or rotation-driven stream with limited evidence of human editorial depth.,https://api.laut.fm/station/championshipvinyl
16,Fantasy-Radio,laut-fm-fantasyradio,consider,62,"Official Laut.fm API: Das Projektradio von OTGC, mit Hits aus Electro, Gothic, Symphonic Metal, Folk, Mittelalter, u.a. Current playlist: Drachentanz; next playlist: Spielstunde.",Lord D.,"Epic, Fantasy, Medieval, Symphonic Metal, Gothic, Folk, Mittelalter-Rock, Trance, Industrial",Celtic Music; Celtic Woman; Versengold; Two Steps From Hell; Game of Thrones; Gregorian; Xandria; Saltatio Mortis; Oonagh; Cultus Ferox,"Named selector Lord D. and a defined Epic, Fantasy, Medieval, Symphonic Metal, Gothic, Folk, Mittelalter-Rock, Trance, Industrial format, but the API shows limited evidence of a distinctive Lore-level editorial structure.",https://api.laut.fm/station/fantasyradio
