rank,current_rank,change,station,slug,score,experimental_matches,crossing_artists,evidence
1,40,39,ISEKOI Radio | Non-Stop Ambient,isekoi-radio-non-stop-ambient,0.3531,1,1,"Tim Hecker [ambient, downtempo, drone, electronic, experimental]"
2,41,39,Systrum Sistum - SSR1,systrum-sistum-ssr1,0.3531,1,1,"Tim Hecker [ambient, downtempo, drone, electronic, experimental]"
3,13,10,KXLU 88.9 FM,kxlu,0.3459,4,5,"Russian Circles [alternative rock, death metal, instrumental, math rock, metal]; Slint [experimental rock, indie rock, math rock, post-rock, rock]; Broadcast [alternative rock, ambient, chillout, downtempo, easy listening]; Viagra Boys [alternative rock, dance-punk, post-punk]"
4,63,59,FIP Electro,fip-electro,0.3393,1,1,"Boards of Canada [ambient, ambient techno, breakbeat, chillout, dark wave]"
5,55,50,SomaFM — CliqHop IDM,somafm-cliqhop,0.3393,1,1,"Boards of Canada [ambient, ambient techno, breakbeat, chillout, dark wave]"
6,10,4,WXYC 89.3 FM,wxyc,0.3333,6,6,"LCD Soundsystem [dance, dance-punk, disco, electro, electronic]; Pink Floyd [arena rock, art rock, classic rock, electronic, experimental]; Thundercat [funktronica, hip hop, jazz, jazz fusion, jazz pop]; Kate Bush [alternative pop, alternative rock, ambient pop, art pop, art rock]; The Beatles [beat music, britpop, classic rock, hard rock, pop]"
7,6,-1,FIP Rock,fip-rock,0.3113,4,7,"Perfume Genius [art pop, glam rock, indie pop, noise pop]; The Flaming Lips [acid rock, alternative rock, electronic, experimental, indie rock]; Pink Floyd [arena rock, art rock, classic rock, electronic, experimental]; David Byrne [alternative rock, art rock, new wave, pop, post-punk]"
8,17,9,WMFO 91.5 FM,wmfo,0.2929,3,4,"Boards of Canada [ambient, ambient techno, breakbeat, chillout, dark wave]; Kate Bush [alternative pop, alternative rock, ambient pop, art pop, art rock]; The Beatles [beat music, britpop, classic rock, hard rock, pop]"
9,8,-1,FIP,fip-main,0.2884,4,6,"Altın Gün [psychedelic rock]; Pink Floyd [arena rock, art rock, classic rock, electronic, experimental]; Shuggie Otis [funk, psychedelic soul, r&b, soul]; Stevie Wonder [contemporary r&b, disco, downtempo, funk, house]"
10,1,-9,KALX 90.7 FM,kalx,0.2878,4,8,"Boards of Canada [ambient, ambient techno, breakbeat, chillout, dark wave]; Altın Gün [psychedelic rock]; Broadcast [alternative rock, ambient, chillout, downtempo, easy listening]; Beach House [ballad, chillout, dream pop, ethereal wave, indie pop]"
