cohort_rank,station,slug,action,proposed_summary,editorial_interest,evidence_quality,flag,reason,source_urls
42,Ambiento,ambiento,improve,"Ambiento is a Romanian online stream centered on ambient, lounge, and chillout music. Its available description identifies a narrow mood-based format, but provides little evidence of presenters, commissioning, community role, or a distinctive editorial program.",low,low,low_interest_and_insufficient_info,The station appears to be a generic mood stream and the linked site offers too little verifiable organizational context to assess a stronger editorial identity.,https://ambientoradio.com/
43,Polushon,polushon,improve,"Polushon is a Swedish online radio project whose available station identity is limited to its name and stream homepage. Without a clear schedule, about page, or stated music policy, its ownership, geography, and programming model remain difficult to describe responsibly.",low,low,low_interest_and_insufficient_info,The source is accessible as a homepage but supplies insufficient editorial or institutional information.,http://polushon.com/
44,Radio FM,radio-fm,improve,"Radio FM is a Slovak public-media FM service associated with Slovenská televízia a rozhlas. The available record establishes its broadcaster and national context, but the linked page does not provide enough English-accessible detail here to characterize its music schedule or editorial distinction.",medium,medium,insufficient_info,"Public broadcaster affiliation is clear, while the supplied station page gives limited evidence about this specific service’s programming.",https://fm.rtvs.sk/
46,181.FM - Chilled Out (USA) 128k mp3,181-fm-chilled-out-usa-128k-mp3,improve,"181.FM Chilled Out is an online channel from the 181.FM network built around uninterrupted chillout listening. It offers a recognizable mood and format, but the available player page provides little evidence of presenters, local community, or human-led programming.",low,medium,low_interest,"A clearly identified network stream, but commercially undifferentiated and apparently automated.",http://player.181fm.com/?station=181-chilled
47,Laut.FM Synthesizer Greatest,laut-fm-synthesizer-greatest,improve,"Synthesizer Greatest is a laut.fm user-created stream focused on ambient and electronic synthesizer music. The available record identifies its genre lane, but not a host, community, schedule, or curatorial rationale that would distinguish it beyond the category.",low,medium,low_interest,A narrow single-genre stream with limited evidence of editorial authorship.,https://www.laut.fm/synthesizergreatest
50,Culture Failure,culture-failure,improve,"Culture Failure is an independent online project associated with ambient, electronic, minimal, and noise music. The available homepage and tags suggest an exploratory electronic focus, but offer little reliable information about presenters, ownership, geography, or a recurring editorial program.",low,low,low_interest_and_insufficient_info,"Interesting genre signals are present, but the project is not sufficiently documented to evaluate as a station.",https://culturefailure.com/
51,Path through the Forest,path-through-the-forest,improve,"Path through the Forest is a laut.fm stream spanning alternative, avant-garde, experimental, indie, industrial, noise, psychedelic, punk, rock, and stoner music. Its breadth suggests personal curation, but the available page does not identify a host, schedule, or community context.",low,medium,low_interest,The genre range is distinctive but the service appears to be a user-created automated stream with little documented editorial infrastructure.,http://laut.fm/path_through_the_forest
52,Heavy Music Atmospheric Radio,heavy-music-atmospheric-radio,improve,"Heavy Music Atmospheric Radio is an online Russian project focused on atmospheric progressive and post-rock. Its stated aim is a concentrated listening environment for expansive heavy music, but the available material provides little evidence of presenters, ownership, or a wider editorial program.",medium,medium,insufficient_info,"The musical niche is clear, while institutional and programming evidence is sparse.",https://www.heavy-music.net/
53,Lolli Radio Happy Station,lolli-radio-happy-station,improve,"Lolli Radio Happy is one channel in an Italian digital-radio network that also offers pop, dance, hits, oldies, soft, and classic services. The network context is clear, but this channel’s specific editorial voice appears limited beyond its mood-and-format positioning.",low,medium,low_interest,A commercial multi-channel service with little evidence of host-led curation on this stream.,http://www.lolliradio.net/
54,Championshipvinyl,championshipvinyl,improve,"Championshipvinyl is a laut.fm stream oriented toward acoustic, folk, and indie-folk recordings. Its genre focus gives it a modest discovery angle, but the available page does not document presenters, geography, ownership, or a broader editorial purpose.",low,medium,low_interest,A narrow user-created genre stream without visible editorial infrastructure.,https://laut.fm/championshipvinyl
55,Radio Mela,radio-mela,improve,"Radio Mela is an Italian online stream built around 1980s and 1990s music. Its retro focus gives listeners a simple period-based entry point, while the available homepage offers little evidence of presenters, local community work, or a distinctive selection policy.",low,medium,low_interest,A generic nostalgia format with limited signs of human editorial differentiation.,http://www.radiomela.it/
57,6forty Radio,6forty-radio,improve,"6forty Radio is an online music project tagged for deep indie, modern classical, post-metal, post-rock, and shoegaze. Those intersections suggest a potentially strong taste profile, but the available homepage does not establish who programs it or how the stream is curated.",medium,low,insufficient_info,"The musical combination is editorially promising, but evidence about the station and its programming is too sparse.",http://www.6fortyradio.com/
58,aNONradio,anonradio,improve,"aNONradio is an independent online radio project presenting live programs and community broadcasts, including the listed News to Me show. Its homepage indicates human-made programming, but provides limited stable information about ownership, geography, schedule breadth, or music focus.",medium,medium,insufficient_info,"There is evidence of live programming, but not enough accessible context to characterize the service fully.",http://anonradio.net/
61,CKUA Radio,ckua,improve,"CKUA is an Alberta listener-supported public-radio network whose music service connects regional Canadian broadcasting with eclectic, host-led programming. The supplied homepage clearly establishes its donation-supported model, though this record needs a fuller schedule-based description of its genres and communities.",high,medium,insufficient_info,"The organization and public-service model are clear, but the supplied copy is fundraising language rather than a programming description.",https://ckua.com
62,dinamo.fm smog,dinamo-fm-smog,improve,"Dinamo.fm Smog is a Turkish online stream associated with deep, dub, electronica, and IDM. The genre combination suggests a club-oriented electronic lane, but the available station record does not document presenters, ownership, geography, or a human programming schedule.",medium,low,insufficient_info,"A potentially distinctive niche is visible, but the evidence is limited to tags and the network homepage.",http://www.dinamo.fm/
64,Experimental/Avant-garde music - Radio Caprice,experimental-avant-garde-music-radio-caprice,improve,"Radio Caprice’s experimental and avant-garde channel is a Russian internet stream organized around a narrow specialist category. It may suit listeners seeking unconventional music, but the available page offers little evidence of hosts, community, or editorial selection beyond the genre label.",medium,medium,low_interest,"A specialist stream with some discovery value, but no visible human or institutional editorial identity.",http://radcap.ru/playback-history/4/experimental-ph.php
66,Fluid Radio,fluid-radio,improve,"Fluid Radio is an online project presenting experimental frequencies and ambient-oriented music. Its name and homepage indicate a specialist listening space, but the available material does not sufficiently document ownership, presenters, geography, schedule, or the boundaries of its musical program.",medium,low,insufficient_info,"Potentially interesting specialist identity, but insufficient accessible evidence to evaluate it.",http://www.fluid-radio.co.uk/
67,JAMM FM,jamm-fm,improve,"JammFM is a Dutch local station serving Ouder-Amstel with a smooth-and-funky music brief. Its community geography and named locality give it more identity than a generic stream, although the available record does not provide enough detail about presenters, ownership, or schedule structure.",medium,medium,insufficient_info,"Local-service context is visible, but programming evidence is incomplete.",http://www.jammfm.nl/
68,Jazzloft,jazzloft,improve,"Jazzloft is a laut.fm stream combining jazz, lounge, smooth, soul, and world music. The broad easy-listening brief is clear, but the available page does not identify presenters, a locality, ownership, or a curatorial rationale beyond its genre tags.",low,medium,low_interest,A generic multi-genre stream with little evidence of an editorial institution or host community.,http://stream.laut.fm/jazzloft
71,KDUR 91.9 FM,kdur,improve,"KDUR is Fort Lewis College’s noncommercial campus station in Durango, Colorado. The supplied record confirms the university connection and a published program listing, but the linked page is a schedule platform rather than enough evidence to characterize its music, community, or editorial range.",medium,medium,insufficient_info,"Institutional context is clear, but the available source is largely infrastructure documentation.",https://spinitron.com/KDUR/
74,KSJS 90.5 FM,ksjs,improve,"KSJS is San José State University’s student-run 90.5 FM station, broadcasting new and independent music alongside campus radio programming. Its long-running university setting and student operation provide a clear community identity, though the supplied page gives limited genre detail.",high,medium,insufficient_info,"Ownership, location, and student model are clear; the available source needs a fuller current schedule for music characterization.",https://spinitron.com/KSJS/
77,KZSC 88.1 FM,kzsc,improve,"KZSC is UC Santa Cruz’s student and community station, broadcasting from the redwood-covered campus toward the wider Monterey Bay region. Its campus-community model and freeform college-radio setting are clear, while the supplied page offers little detail about current music specialties.",high,medium,insufficient_info,"The station identity and geography are established, but the schedule source is insufficient for a more specific programming description.",https://spinitron.com/KZSC/
82,Systrum Sistum - SSR2,systrum-sistum-ssr2,improve,"Systrum Sistum SSR2 is an Australian online channel presenting ambient and electronic music. The service offers a focused atmospheric listening proposition, but the available homepage does not provide enough information about presenters, ownership, geography, schedule, or a broader editorial mission.",medium,medium,insufficient_info,"The genre identity is clear, while evidence of human programming and institutional context is sparse.",https://www.systrum.net/
84,100% ACID JAZZ,100-acid-jazz,improve,"A TorontoCast Radio Suite Network stream devoted to acid jazz, with the available station page identifying a narrow genre channel but providing little evidence of presenters, ownership, or local community.",low,low,low_interest_and_insufficient_info,The page identifies only a genre stream and network host; no distinctive editorial structure is evident.,https://radiosuitenetwork.torontocast.stream/100-acid-jazz/
85,12XU,12xu,improve,"12XU is a German online station whose public identity points toward punk and underground music, but its available page offers too little verified information about operators, schedule, or community to characterize the service confidently.",medium,low,insufficient_info,The official-looking homepage is sparse and the supplied copy is a slogan rather than an accountable station description.,http://onetwoxu.de/
87,24-7 Psychedelic Rock,24-7-psychedelic-rock,improve,"A 24-7 Niche Radio stream focused on psychedelic rock, offering a tightly defined genre listen but no clear evidence on the public page of presenters, local community, or a broader editorial programme.",low,medium,low_interest,The service appears to be an automated single-genre stream with little visible human curation.,https://24-7nicheradio.com/audiogallery/24-7-psychedelic/
90,Ambient Modern,ambient-modern,improve,"Ambient Modern is an internet station centered on contemporary ambient music, offering a focused listening stream whose public description establishes the genre but not a presenter roster, ownership model, or community role.",low,medium,low_interest,"A single-genre service is identifiable, but no stronger editorial distinction is documented.",https://ambientmodern.com/
91,ambient.fm,ambient-fm,improve,"ambient.fm presents ambient music from Nevada through an online stream, with a useful geographic label but limited public evidence about programming, hosts, ownership, or how human selection shapes the channel.",low,low,low_interest_and_insufficient_info,The homepage establishes location and genre only; the service is difficult to evaluate editorially.,https://ambient.fm/
92,AmbientRadio (MRG.fm),ambientradio-mrg-fm,improve,"AmbientRadio is one of MRG.fm’s genre-oriented online channels, built for continuous ambient listening; the public network page provides little information about presenters, programming decisions, or a distinct community beyond the format label.",low,low,low_interest_and_insufficient_info,Network directory evidence is too thin to distinguish this channel from an automated genre feed.,https://www.mrg.fm/
94,Avant-Prog/Rock in Opposition/Canterbury Scene/Zeuhl - Radio Caprice,avant-prog-rock-in-opposition-canterbury-scene-zeuhl-radio-caprice,improve,"Radio Caprice’s specialist channel isolates avant-prog, Rock in Opposition, Canterbury, and zeuhl for listeners seeking a narrow art-rock catalogue, but the public page gives little evidence of presenters or a broader editorial institution.",medium,low,low_interest_and_insufficient_info,"Distinctive niche, but the available evidence describes tags and format rather than human programming.",http://radcap.ru/avantprog.html
95,Basspistol Radio,basspistol-radio,improve,"Basspistol Radio is a Swiss online project framed around underground and outernational music, with a deliberately cross-border outlook; its public page supports the concept but gives limited detail on schedule, hosts, and governance.",medium,medium,insufficient_info,"The station has a potentially distinctive remit, yet the accessible evidence is mostly positioning language.",https://basspistol.com/radio
97,Black Rhino Radio,black-rhino-radio,improve,"Black Rhino Radio is a Romanian online station with an independent music and culture profile, but its accessible homepage offers too little verified detail about ownership, geography beyond Romania, presenters, or the shape of its current schedule.",medium,low,insufficient_info,"The station appears culturally oriented, but the available evidence is not enough for a precise editorial account.",https://blackrhinoradio.com/
99,Chill Lounge Florida (USA) 128k mp3,chill-lounge-florida-usa-128k-mp3,improve,"Chill Lounge Florida is an online stream labeled around ambient, chillout, and lounge listening, with the relay URL offering no reliable evidence of presenters, ownership, community, or a distinctive editorial programme.",low,low,low_interest_and_insufficient_info,The source is a stream endpoint with scraped tags rather than an accountable station page.,https://vip2.fastcast4u.com/proxy/chillfla?mp=/1
103,CoSTa's Ambient Radio,costa-s-ambient-radio,improve,"CoSTa’s Ambient Radio is an online stream tagged for ambient, electronic, and psybient music, but its relay page provides no dependable information about presenters, ownership, locality, or a human editorial schedule.",low,low,low_interest_and_insufficient_info,The available evidence is limited to scraped genre metadata and a stream endpoint.,https://pc.costa-server.info.pl:11020/public/costas_ambient_radio
104,Cryosleep,cryosleep,improve,"Cryosleep is an Echoes of Bluemars ambient stream built for calm, beatless, space-themed listening, with the project’s surrounding site providing more context than a generic relay but little evidence of live presenters.",medium,medium,low_interest,"Its space-ambient concept is distinctive, but the service appears primarily continuous and automated rather than programme-led.",http://www.echoesofbluemars.org/cryosleep.php
106,Darksynth Radio,darksynth-radio,improve,"Darksynth Radio is a laut.fm channel centered on dark synth, synthpop, darkwave, and related electronic styles, offering a focused mood and era palette but little evidence of presenters or independent editorial infrastructure.",low,medium,low_interest,"A tightly bounded genre stream is identifiable, but it is not clearly differentiated from other automated platform channels.",https://laut.fm/darksynthradio
