name,slug,reason,source,automation,observed_spins,observed_artists,last_alive,homepage_url
RadiOzora Trance,radiozora-trance,duplicate_of_stronger_entry,radio_browser,unknown,141,5,2026-09-05,https://radiozora.fm/
Folk Alley Irish Music,folk-alley-irish-music,duplicate_of_stronger_entry,radio_browser,unknown,323,17,2026-09-10,https://folkalley.com/stream/irish-stream/
EPIC CLASSICAL - Classical Chillout,epic-classical-classical-chillout,utility_or_non_radio_audio,radio_browser,unknown,0,0,2026-09-09,https://epic-classical.com/
EPIC CLASSICAL - Classical Lounge,epic-classical-classical-lounge,utility_or_non_radio_audio,radio_browser,unknown,0,0,2026-09-16,https://epic-classical.com/
EPIC CLASSICAL - Classical Love Music,epic-classical-classical-love-music,utility_or_non_radio_audio,radio_browser,unknown,0,0,2026-09-15,https://epic-classical.com/
EPIC CLASSICAL - Classical Meditation,epic-classical-classical-meditation,utility_or_non_radio_audio,radio_browser,unknown,0,0,2026-09-05,https://epic-classical.com/
EPIC CLASSICAL - Classical Pan Flute,epic-classical-classical-pan-flute,utility_or_non_radio_audio,radio_browser,unknown,0,0,2026-09-05,https://epic-classical.com/
EPIC CLASSICAL - Classical Relax,epic-classical-classical-relax,utility_or_non_radio_audio,radio_browser,unknown,0,0,2026-09-16,https://epic-classical.com/
EPIC CLASSICAL - Classical Sunrise,epic-classical-classical-sunrise,utility_or_non_radio_audio,radio_browser,unknown,0,0,2026-09-11,https://epic-classical.com/
EPIC CLASSICAL - Classical Violin,epic-classical-classical-violin,utility_or_non_radio_audio,radio_browser,unknown,0,0,2026-09-10,https://epic-classical.com/
MyNoise Drone Zone,mynoise-drone-zone,utility_or_non_radio_audio,radio_browser,unknown,0,0,2026-09-11,https://mynoise.net/
MyNoise Ocean Waves,mynoise-ocean-waves,utility_or_non_radio_audio,radio_browser,unknown,0,0,2026-09-10,https://mynoise.net/
MyNoise Pure Nature,mynoise-pure-nature,utility_or_non_radio_audio,radio_browser,unknown,0,0,2026-09-15,https://mynoise.net/
MyNoise Rainy Day,mynoise-rainy-day,utility_or_non_radio_audio,radio_browser,unknown,0,0,2026-09-10,https://mynoise.net/
MyNoise Siren Songs,mynoise-siren-songs,utility_or_non_radio_audio,radio_browser,unknown,0,0,2026-09-16,https://mynoise.net/
MyNoise Zen Garden,mynoise-zen-garden,utility_or_non_radio_audio,radio_browser,unknown,0,0,2026-09-11,https://mynoise.net/
ambient.fm,ambient-fm,utility_or_non_radio_audio,radio_browser,unknown,0,0,2026-09-05,https://ambient.fm/
