cohort_rank,station,slug,action,proposed_summary,editorial_interest,evidence_quality,flag,reason,source_urls
42,Ambiento,ambiento,improve,"Ambiento is a Romanian online stream centered on ambient, lounge, and chillout music. Its available description identifies a narrow mood-based format, but provides little evidence of presenters, commissioning, community role, or a distinctive editorial program.",low,low,low_interest_and_insufficient_info,"The station appears to be a generic mood stream and the linked site offers too little verifiable organizational context to assess a stronger editorial identity.",https://ambientoradio.com/
43,Polushon,polushon,improve,"Polushon is a Swedish online radio project whose available station identity is limited to its name and stream homepage. Without a clear schedule, about page, or stated music policy, its ownership, geography, and programming model remain difficult to describe responsibly.",low,low,low_interest_and_insufficient_info,"The source is accessible as a homepage but supplies insufficient editorial or institutional information.",http://polushon.com/
44,Radio FM,radio-fm,improve,"Radio FM is a Slovak public-media FM service associated with Slovenská televízia a rozhlas. The available record establishes its broadcaster and national context, but the linked page does not provide enough English-accessible detail here to characterize its music schedule or editorial distinction.",medium,medium,insufficient_info,"Public broadcaster affiliation is clear, while the supplied station page gives limited evidence about this specific service’s programming.",https://fm.rtvs.sk/
45,"WBEZ-HD2 ""Vocalo Stream"" Chicago, IL",wbez-hd2-vocalo-stream-chicago-il,improve,"Vocalo is WBEZ’s Chicago service for urban-alternative music and NPR Music, connecting a public-radio organization to local culture and a younger, genre-fluid audience through FM and online listening.",high,high,,"The station description and Vocalo homepage clearly establish its public-radio ownership, Chicago geography, and distinctive urban-alternative/music model.",http://vocalo.org/
46,181.FM - Chilled Out (USA) 128k mp3,181-fm-chilled-out-usa-128k-mp3,improve,"181.FM Chilled Out is an online channel from the 181.FM network built around uninterrupted chillout listening. It offers a recognizable mood and format, but the available player page provides little evidence of presenters, local community, or human-led programming.",low,medium,low_interest,"A clearly identified network stream, but commercially undifferentiated and apparently automated.",http://player.181fm.com/?station=181-chilled
47,Laut.FM Synthesizer Greatest,laut-fm-synthesizer-greatest,improve,"Synthesizer Greatest is a laut.fm user-created stream focused on ambient and electronic synthesizer music. The available record identifies its genre lane, but not a host, community, schedule, or curatorial rationale that would distinguish it beyond the category.",low,medium,low_interest,"A narrow single-genre stream with limited evidence of editorial authorship.",https://www.laut.fm/synthesizergreatest
48,FIP Jazz,fip-jazz,keep_reviewed,"FIP Jazz is Radio France's jazz stream, presenting the style in many forms through a mix of newer recordings and established artists, with blues in the channel's brief.",high,high,,"Existing reviewed profile sourced to Radio France's FIP Jazz and overview pages.",https://www.radiofrance.fr/fip/radio-jazz;https://www.radiofrance.fr/fip
49,SomaFM — CliqHop IDM,somafm-cliqhop,improve,"SomaFM CliqHop is a listener-supported internet channel devoted to glitchy, beat-driven IDM and experimental electronic music. Its focused brief gives the stream a recognizable niche, although it remains a continuous channel rather than a locally rooted presenter-led station.",medium,high,,"SomaFM publishes a distinct channel identity and nonprofit/listener-supported operating context.",https://somafm.com/cliqhop/
50,Culture Failure,culture-failure,improve,"Culture Failure is an independent online project associated with ambient, electronic, minimal, and noise music. The available homepage and tags suggest an exploratory electronic focus, but offer little reliable information about presenters, ownership, geography, or a recurring editorial program.",low,low,low_interest_and_insufficient_info,"Interesting genre signals are present, but the project is not sufficiently documented to evaluate as a station.",https://culturefailure.com/
51,Path through the Forest,path-through-the-forest,improve,"Path through the Forest is a laut.fm stream spanning alternative, avant-garde, experimental, indie, industrial, noise, psychedelic, punk, rock, and stoner music. Its breadth suggests personal curation, but the available page does not identify a host, schedule, or community context.",low,medium,low_interest,"The genre range is distinctive but the service appears to be a user-created automated stream with little documented editorial infrastructure.",http://laut.fm/path_through_the_forest
52,Heavy Music Atmospheric Radio,heavy-music-atmospheric-radio,improve,"Heavy Music Atmospheric Radio is an online Russian project focused on atmospheric progressive and post-rock. Its stated aim is a concentrated listening environment for expansive heavy music, but the available material provides little evidence of presenters, ownership, or a wider editorial program.",medium,medium,insufficient_info,"The musical niche is clear, while institutional and programming evidence is sparse.",https://www.heavy-music.net/
53,Lolli Radio Happy Station,lolli-radio-happy-station,improve,"Lolli Radio Happy is one channel in an Italian digital-radio network that also offers pop, dance, hits, oldies, soft, and classic services. The network context is clear, but this channel’s specific editorial voice appears limited beyond its mood-and-format positioning.",low,medium,low_interest,"A commercial multi-channel service with little evidence of host-led curation on this stream.",http://www.lolliradio.net/
54,Championshipvinyl,championshipvinyl,improve,"Championshipvinyl is a laut.fm stream oriented toward acoustic, folk, and indie-folk recordings. Its genre focus gives it a modest discovery angle, but the available page does not document presenters, geography, ownership, or a broader editorial purpose.",low,medium,low_interest,"A narrow user-created genre stream without visible editorial infrastructure.",https://laut.fm/championshipvinyl
55,Radio Mela,radio-mela,improve,"Radio Mela is an Italian online stream built around 1980s and 1990s music. Its retro focus gives listeners a simple period-based entry point, while the available homepage offers little evidence of presenters, local community work, or a distinctive selection policy.",low,medium,low_interest,"A generic nostalgia format with limited signs of human editorial differentiation.",http://www.radiomela.it/
56,FIP Electro,fip-electro,keep_reviewed,"FIP Electro is Radio France's electronic-music stream, balancing newer and unreleased selections with familiar catalog landmarks from the wider electronic field.",high,high,,"Existing reviewed profile sourced to Radio France's FIP Electro and overview pages.",https://www.radiofrance.fr/fip/radio-electro;https://www.radiofrance.fr/fip
57,6forty Radio,6forty-radio,improve,"6forty Radio is an online music project tagged for deep indie, modern classical, post-metal, post-rock, and shoegaze. Those intersections suggest a potentially strong taste profile, but the available homepage does not establish who programs it or how the stream is curated.",medium,low,insufficient_info,"The musical combination is editorially promising, but evidence about the station and its programming is too sparse.",http://www.6fortyradio.com/
58,aNONradio,anonradio,improve,"aNONradio is an independent online radio project presenting live programs and community broadcasts, including the listed News to Me show. Its homepage indicates human-made programming, but provides limited stable information about ownership, geography, schedule breadth, or music focus.",medium,medium,insufficient_info,"There is evidence of live programming, but not enough accessible context to characterize the service fully.",http://anonradio.net/
59,Art Of Music,art-of-music,improve,"Art Of Music is an Italian online station built around soulful house, disco, soul, rare groove, funk, and nu-jazz, with DJs and music designers presented as part of the service. Its genre brief is clear, though its community and institutional role are not.",medium,medium,,"The homepage gives a defined stylistic focus and DJ-led model, but limited ownership or geographic detail.",https://artofmusic.fm/
60,ByteFM,bytefm-192k,improve,"Hamburg-based ByteFM is a moderated online radio station pairing music programming with interviews and background reporting. Its Grimme Online Award-winning profile and presenter-led model make it more editorially substantial than an automated stream, even where the individual channel is only a bitrate variant.",high,high,,"Official station copy identifies location, moderation, interviews, background information, and institutional recognition.",https://www.byte.fm/
61,CKUA Radio,ckua,improve,"CKUA is an Alberta listener-supported public-radio network whose music service connects regional Canadian broadcasting with eclectic, host-led programming. The supplied homepage clearly establishes its donation-supported model, though this record needs a fuller schedule-based description of its genres and communities.",high,medium,insufficient_info,"The organization and public-service model are clear, but the supplied copy is fundraising language rather than a programming description.",https://ckua.com
62,dinamo.fm smog,dinamo-fm-smog,improve,"Dinamo.fm Smog is a Turkish online stream associated with deep, dub, electronica, and IDM. The genre combination suggests a club-oriented electronic lane, but the available station record does not document presenters, ownership, geography, or a human programming schedule.",medium,low,insufficient_info,"A potentially distinctive niche is visible, but the evidence is limited to tags and the network homepage.",http://www.dinamo.fm/
63,East Tennessee's Own WDVX 89.9 FM,east-tennessee-s-own-wdvx-89-9-fm,improve,"WDVX is a listener-supported community station serving East Tennessee from Knoxville, with a music-led schedule rooted in local artists, Americana, roots, and live performance. Its regional identity makes it substantially more distinctive than a generic internet stream.",high,high,,"The official station homepage establishes community ownership, East Tennessee geography, and a music-centered local-service identity.",https://wdvx.com/
64,Experimental/Avant-garde music - Radio Caprice,experimental-avant-garde-music-radio-caprice,improve,"Radio Caprice’s experimental and avant-garde channel is a Russian internet stream organized around a narrow specialist category. It may suit listeners seeking unconventional music, but the available page offers little evidence of hosts, community, or editorial selection beyond the genre label.",medium,medium,low_interest,"A specialist stream with some discovery value, but no visible human or institutional editorial identity.",http://radcap.ru/playback-history/4/experimental-ph.php
65,FIP Reggae,fip-reggae,keep_reviewed,"FIP Reggae is Radio France's dedicated reggae stream, moving through roots, ska, dub and kumina while making room for both canonical and current artists.",high,high,,"Existing reviewed profile sourced to Radio France's FIP Reggae and overview pages.",https://www.radiofrance.fr/fip/radio-reggae;https://www.radiofrance.fr/fip
66,Fluid Radio,fluid-radio,improve,"Fluid Radio is an online project presenting experimental frequencies and ambient-oriented music. Its name and homepage indicate a specialist listening space, but the available material does not sufficiently document ownership, presenters, geography, schedule, or the boundaries of its musical program.",medium,low,insufficient_info,"Potentially interesting specialist identity, but insufficient accessible evidence to evaluate it.",http://www.fluid-radio.co.uk/
67,JAMM FM,jamm-fm,improve,"JammFM is a Dutch local station serving Ouder-Amstel with a smooth-and-funky music brief. Its community geography and named locality give it more identity than a generic stream, although the available record does not provide enough detail about presenters, ownership, or schedule structure.",medium,medium,insufficient_info,"Local-service context is visible, but programming evidence is incomplete.",http://www.jammfm.nl/
68,Jazzloft,jazzloft,improve,"Jazzloft is a laut.fm stream combining jazz, lounge, smooth, soul, and world music. The broad easy-listening brief is clear, but the available page does not identify presenters, a locality, ownership, or a curatorial rationale beyond its genre tags.",low,medium,low_interest,"A generic multi-genre stream with little evidence of an editorial institution or host community.",http://stream.laut.fm/jazzloft
69,KAOS 89.3 FM,kaos,improve,"KAOS is Evergreen State College’s Olympia radio service, connecting student and community broadcasting with an eclectic schedule of music and public-affairs programming. Its campus setting and noncommercial identity provide a stronger editorial frame than a directory-only stream.",high,high,,"The station and college affiliation are official; the supplied schedule page establishes an active broadcast context.",https://spinitron.com/KAOS/
70,KCSM 91.1 FM,kcsm,improve,"KCSM Jazz 91.1 is College of San Mateo’s educational and public-radio station in the San Francisco Bay Area, centered on jazz programming and online listening. Its educational ownership and focused music remit give the service a clear institutional identity.",high,high,,"Official station description establishes college ownership, geography, public-radio status, and jazz focus.",https://kcsm.org
71,KDUR 91.9 FM,kdur,improve,"KDUR is Fort Lewis College’s noncommercial campus station in Durango, Colorado. The supplied record confirms the university connection and a published program listing, but the linked page is a schedule platform rather than enough evidence to characterize its music, community, or editorial range.",medium,medium,insufficient_info,"Institutional context is clear, but the available source is largely infrastructure documentation.",https://spinitron.com/KDUR/
72,KDVS 90.3 FM,kdvs,keep_reviewed,"UC Davis’s noncommercial, student-run station grew from a 1964 dormitory broadcast into a 24/7 FM service known for diverse, challenging, freeform programming.",high,high,,"Existing reviewed profile in station-profiles/batch-5.ts; preserve verbatim.",https://kdvs.org/about;https://studentlife.ucdavis.edu/student-media
73,KFAI 90.3 FM,kfai,improve,"KFAI is a Minneapolis–Saint Paul volunteer community station serving audiences across diverse racial, social, and economic communities. Its public mission supports a broad mix of arts, information, and entertainment programming, though the supplied schedule source does not expose its music identity in detail.",high,high,,"Official station description clearly establishes volunteer governance, Twin Cities geography, and community-service mission.",https://spinitron.com/KFAI/
74,KSJS 90.5 FM,ksjs,improve,"KSJS is San José State University’s student-run 90.5 FM station, broadcasting new and independent music alongside campus radio programming. Its long-running university setting and student operation provide a clear community identity, though the supplied page gives limited genre detail.",high,medium,insufficient_info,"Ownership, location, and student model are clear; the available source needs a fuller current schedule for music characterization.",https://spinitron.com/KSJS/
75,KTUH 90.3 FM,ktuh,improve,"KTUH is the University of Hawaiʻi at Mānoa’s noncommercial, student-run and listener-supported station in Honolulu, founded in 1969 as Hawaiʻi’s first noncommercial FM service. Its campus origin and island setting are central to its identity, though the supplied source gives limited music detail.",high,high,,"Official station description establishes ownership, Honolulu geography, history, and operating model.",https://spinitron.com/KTUH/
76,KUCR 88.3 FM,kucr,keep_reviewed,"KUCR is the University of California, Riverside’s campus radio service, connecting student-media broadcasting with the Inland Empire community and an online audience.",medium,high,,"Existing reviewed profile sourced to UC Riverside and KUCR pages; preserve verbatim.",https://ucr.edu/about-ucr;https://kucr.org/
77,KZSC 88.1 FM,kzsc,improve,"KZSC is UC Santa Cruz’s student and community station, broadcasting from the redwood-covered campus toward the wider Monterey Bay region. Its campus-community model and freeform college-radio setting are clear, while the supplied page offers little detail about current music specialties.",high,medium,insufficient_info,"The station identity and geography are established, but the schedule source is insufficient for a more specific programming description.",https://spinitron.com/KZSC/
