rank,station,slug,country,organization,homepage,scrape_score,scraped_evidence,scraped_tags,scraped_blurb
1,Radio Caprice - Avant-Garde Jazz / Free Improvisation [2],radio-caprice-avant-garde-jazz-free-improvisation-2,The Russian Federation,,http://radcap.ru/avantgardejazz.html,24.55,avant-garde (name); free improvisation (name); free improv (name); free jazz (tag),"[""avant-garde"", ""avant-garde jazz"", ""free jazz"", ""improvisation"", ""radcap""]","Радиоканал RADCAP (RADio CAPrice) - AVANT-GARDE JAZZ - стабильный эфир, хороший звук, качественный контент."
2,Path through the Forest,path-through-the-forest,Germany,,http://laut.fm/path_through_the_forest,22.75,avant-garde (tag); experimental (tag); noise (tag); industrial (tag); psychedelic (tag); psych (tag),"[""alternative"", ""avant-garde"", ""experimental"", ""indie"", ""industrial"", ""noise"", ""psychedelic"", ""punk"", ""rock"", ""stoner""]",
3,Experimentalgems,experimentalgems,Germany,,https://laut.fm/experimentalgems,18.92,experimental (name); avantgarde (tag); drone (tag); ambient (tag),"[""ambient"", ""avantgarde"", ""drone"", ""electronic"", ""experimental"", ""jazz""]",
4,AmbientRadio (MRG.fm),ambientradio-mrg-fm,The United States Of America,,https://www.mrg.fm/,17.25,experimental (tag); drone (tag); dark ambient (tag); ambient (name),"[""ambient"", ""ambient and relaxation music"", ""ambiental"", ""dark ambient"", ""deep ambient"", ""downtempo"", ""drone"", ""electronica"", ""experimental"", ""meditation"", ""new age"", ""relaxation music""]",16 Free Radio Stations - MRG.fm
5,Concertzender X-Rated,concertzender-x-rated,The Netherlands,,https://www.concertzender.nl/programma_genre/crosslinks/,16.35,avant-garde (tag); experimental (tag); industrial (tag); ambient (tag),"[""ambient"", ""avant-garde"", ""electronics"", ""experimental"", ""industrial""]",De Concertzender is er voor muziekliefhebbers die het avontuur niet schuwen. Onder het motto
6,DJ 666 Geordieblackcore,dj-666-geordieblackcore,,,https://laut.fm/dj666geordieblackcore,15.45,grindcore (tag); black metal (tag); death metal (tag); metal (tag),"[""black metal"", ""crust"", ""death metal"", ""folk"", ""folk metal"", ""gore metal"", ""grindcore"", ""pagan black metal"", ""punk"", ""thrash metal""]",
7,NEOFOLK,neofolk,Germany,,https://flatlinesradio.de/,14.55,experimental (tag); post-rock (tag); industrial (tag); ambient (tag),"[""ambient"", ""darkfolk"", ""experimental"", ""folk"", ""industrial"", ""martial industrial"", ""mittelalter"", ""neofolk"", ""pagan"", ""post-punk"", ""post-rock""]",
8,Experimental/Avant-garde music - Radio Caprice,experimental-avant-garde-music-radio-caprice,,,http://radcap.ru/playback-history/4/experimental-ph.php,13.38,avant-garde (name); experimental (name),"[""avant-garde"", ""experimental""]",
9,Fluid Radio,fluid-radio,,,http://www.fluid-radio.co.uk/,13.35,experimental (tag); abstract (tag); modern classical (tag); ambient (tag),"[""abstract"", ""acoustic"", ""ambient"", ""experimental"", ""instrumental"", ""modern classical""]",Fluid Radio - Experimental Frequencies
10,Elektronisch Querbeat,elektronisch-querbeat,Germany,,http://laut.fm/elektronisch_querbeat,13.15,idm (tag); glitch (tag); abstract (tag); ambient (tag),"[""abstract"", ""ambient"", ""broken beat"", ""dubstep"", ""glitch"", ""idm""]",
11,6forty Radio,6forty-radio,The United States Of America,,http://www.6fortyradio.com/,12.55,post-metal (tag); post-rock (tag); modern classical (tag); metal (tag),"[""deep indie"", ""modern classical"", ""post-metal"", ""post-rock"", ""shoegaze""]",
12,RADCAP: INDUSTRIAL / DARK / RITUAL AMBIENT,radcap-industrial-dark-ritual-ambient,The Russian Federation,,http://radcap.ru/darkambient.html,12.32,industrial (name); dark ambient (tag); ambient (name),"[""ambient"", ""dark ambient"", ""industrial"", ""ritual""]","Радиоканал RADCAP (RADio CAPrice) - INDUSTRIAL / DARK / RITUAL AMBIENT - стабильный эфир, хороший звук, качественный контент."
13,Systrum Sistum - SSR1,systrum-sistum-ssr1,Australia,,https://www.systrum.net/,11.8,experimental (tag); drone (tag); ambient (tag),"[""ambient"", ""drone"", ""electronica"", ""experimental""]",Ambient Radio | Radio Electronica
14,Cashmere Radio,cashmere-radio,DE,Cashmere Radio e.V.,https://cashmereradio.com/,11.42,avant-garde (tag); experimental (tag); underground (blurb),"[""avant-garde"", ""berlin"", ""community"", ""community radio"", ""experimental"", ""non-commercial"", ""non-profit"", ""specialist""]","Cashmere Radio is a community experimental radio station based in Lichtenberg, Berlin - broadcasting underground music, talk shows and live performative arts."
15,RADCAP: ATMOSPHERIC / AMBIENT BLACK METAL,radcap-atmospheric-ambient-black-metal,The Russian Federation,,http://radcap.ru/aabmds.html,11.23,black metal (name); ambient (name); metal (name),"[""ambient"", ""ambient black metal"", ""atmospheric ambient black metal"", ""atmospheric black metal"", ""black metal"", ""metal"", ""radio caprice""]","Радиоканал RADCAP (RADio CAPrice) - ATMOSPHERIC / AMBIENT BLACK METAL - стабильный эфир, хороший звук, качественный контент."
16,laut.fm - Shamanic Tunes,laut-fm-shamanic-tunes,,,https://laut.fm/shamanic_tunes,11.05,doom metal (tag); psychedelic (tag); psych (tag); metal (tag),"[""alternative"", ""chillout"", ""doom metal"", ""groove"", ""hard rock"", ""psychedelic"", ""rock"", ""stoner rock"", ""trip-hop""]",
17,NEU RADIO,neu-radio,Italy,,https://www.neuradio.it/,10.8,experimental (tag); post-rock (tag); ambient (tag),"[""afrobeats"", ""alternative"", ""ambient"", ""arts"", ""beats"", ""black"", ""breakbeat"", ""cinema"", ""culture"", ""dub"", ""electronic"", ""electropop"", ""experimental"", ""funk"", ""house"", ""indie pop"", ""indie rock"", ""jazz"", ""local news"", ""minimal"", ""minimal wave"", ""music"", ""new wave"", ""news"", ""nu-jazz"", ""post-punk"", ""post-rock"", ""reggae"", ""soul"", ""synth"", ""synthwave"", ""world"", ""worldbeat""]","Neu Radio è la nuova web radio, un collettivo, un aggregatore culturale. In streaming 24/7 da Bologna verso il mondo."
18,SomaFM n5MD (128k AAC),somafm-n5md-128k-aac,The United States Of America,,https://somafm.com/n5md/,10.8,experimental (tag); post-rock (tag); ambient (tag),"[""ambient"", ""experimental"", ""experimental electronic music"", ""modern composition"", ""post-rock""]","Emotional Experiments in Music: Ambient, modern composition, post-rock, & experimental electronic music"
19,laut.fm - Dark Sound United,laut-fm-dark-sound-united,,,https://laut.fm/dark-sound-united,9.8,black metal (tag); industrial (tag); metal (tag),"[""black metal"", ""electropop"", ""gothic"", ""gothic rock"", ""heavy metal"", ""industrial"", ""new wave"", ""synthpop""]",
20,SomaFM — CliqHop IDM,somafm-cliqhop,US,SomaFM,https://somafm.com/cliqhop/,9.78,idm (name); experimental (tag),"[""experimental"", ""idm"", ""specialist""]",Blips
